StateProvince,01/22/2020 new confirmed,01/22/2020 total confirmed,01/22/2020 new deaths,01/22/2020 total deaths,01/23/2020 new confirmed,01/23/2020 total confirmed,01/23/2020 new deaths,01/23/2020 total deaths,01/24/2020 new confirmed,01/24/2020 total confirmed,01/24/2020 new deaths,01/24/2020 total deaths,01/25/2020 new confirmed,01/25/2020 total confirmed,01/25/2020 new deaths,01/25/2020 total deaths,01/26/2020 new confirmed,01/26/2020 total confirmed,01/26/2020 new deaths,01/26/2020 total deaths,01/27/2020 new confirmed,01/27/2020 total confirmed,01/27/2020 new deaths,01/27/2020 total deaths,01/28/2020 new confirmed,01/28/2020 total confirmed,01/28/2020 new deaths,01/28/2020 total deaths,01/29/2020 new confirmed,01/29/2020 total confirmed,01/29/2020 new deaths,01/29/2020 total deaths,01/30/2020 new confirmed,01/30/2020 total confirmed,01/30/2020 new deaths,01/30/2020 total deaths,01/31/2020 new confirmed,01/31/2020 total confirmed,01/31/2020 new deaths,01/31/2020 total deaths,02/01/2020 new confirmed,02/01/2020 total confirmed,02/01/2020 new deaths,02/01/2020 total deaths,02/02/2020 new confirmed,02/02/2020 total confirmed,02/02/2020 new deaths,02/02/2020 total deaths,02/03/2020 new confirmed,02/03/2020 total confirmed,02/03/2020 new deaths,02/03/2020 total deaths,02/04/2020 new confirmed,02/04/2020 total confirmed,02/04/2020 new deaths,02/04/2020 total deaths,02/05/2020 new confirmed,02/05/2020 total confirmed,02/05/2020 new deaths,02/05/2020 total deaths,02/06/2020 new confirmed,02/06/2020 total confirmed,02/06/2020 new deaths,02/06/2020 total deaths,02/07/2020 new confirmed,02/07/2020 total confirmed,02/07/2020 new deaths,02/07/2020 total deaths,02/08/2020 new confirmed,02/08/2020 total confirmed,02/08/2020 new deaths,02/08/2020 total deaths,02/09/2020 new confirmed,02/09/2020 total confirmed,02/09/2020 new deaths,02/09/2020 total deaths,02/10/2020 new confirmed,02/10/2020 total confirmed,02/10/2020 new deaths,02/10/2020 total deaths,02/11/2020 new confirmed,02/11/2020 total confirmed,02/11/2020 new deaths,02/11/2020 total deaths,02/12/2020 new confirmed,02/12/2020 total confirmed,02/12/2020 new deaths,02/12/2020 total deaths,02/13/2020 new confirmed,02/13/2020 total confirmed,02/13/2020 new deaths,02/13/2020 total deaths,02/14/2020 new confirmed,02/14/2020 total confirmed,02/14/2020 new deaths,02/14/2020 total deaths,02/15/2020 new confirmed,02/15/2020 total confirmed,02/15/2020 new deaths,02/15/2020 total deaths,02/16/2020 new confirmed,02/16/2020 total confirmed,02/16/2020 new deaths,02/16/2020 total deaths,02/17/2020 new confirmed,02/17/2020 total confirmed,02/17/2020 new deaths,02/17/2020 total deaths,02/18/2020 new confirmed,02/18/2020 total confirmed,02/18/2020 new deaths,02/18/2020 total deaths,02/19/2020 new confirmed,02/19/2020 total confirmed,02/19/2020 new deaths,02/19/2020 total deaths,02/20/2020 new confirmed,02/20/2020 total confirmed,02/20/2020 new deaths,02/20/2020 total deaths,02/21/2020 new confirmed,02/21/2020 total confirmed,02/21/2020 new deaths,02/21/2020 total deaths,02/22/2020 new confirmed,02/22/2020 total confirmed,02/22/2020 new deaths,02/22/2020 total deaths,02/23/2020 new confirmed,02/23/2020 total confirmed,02/23/2020 new deaths,02/23/2020 total deaths,02/24/2020 new confirmed,02/24/2020 total confirmed,02/24/2020 new deaths,02/24/2020 total deaths,02/25/2020 new confirmed,02/25/2020 total confirmed,02/25/2020 new deaths,02/25/2020 total deaths,02/26/2020 new confirmed,02/26/2020 total confirmed,02/26/2020 new deaths,02/26/2020 total deaths,02/27/2020 new confirmed,02/27/2020 total confirmed,02/27/2020 new deaths,02/27/2020 total deaths,02/28/2020 new confirmed,02/28/2020 total confirmed,02/28/2020 new deaths,02/28/2020 total deaths,02/29/2020 new confirmed,02/29/2020 total confirmed,02/29/2020 new deaths,02/29/2020 total deaths,03/01/2020 new confirmed,03/01/2020 total confirmed,03/01/2020 new deaths,03/01/2020 total deaths,03/02/2020 new confirmed,03/02/2020 total confirmed,03/02/2020 new deaths,03/02/2020 total deaths,03/03/2020 new confirmed,03/03/2020 total confirmed,03/03/2020 new deaths,03/03/2020 total deaths,03/04/2020 new confirmed,03/04/2020 total confirmed,03/04/2020 new deaths,03/04/2020 total deaths,03/05/2020 new confirmed,03/05/2020 total confirmed,03/05/2020 new deaths,03/05/2020 total deaths,03/06/2020 new confirmed,03/06/2020 total confirmed,03/06/2020 new deaths,03/06/2020 total deaths,03/07/2020 new confirmed,03/07/2020 total confirmed,03/07/2020 new deaths,03/07/2020 total deaths,03/08/2020 new confirmed,03/08/2020 total confirmed,03/08/2020 new deaths,03/08/2020 total deaths,03/09/2020 new confirmed,03/09/2020 total confirmed,03/09/2020 new deaths,03/09/2020 total deaths,03/10/2020 new confirmed,03/10/2020 total confirmed,03/10/2020 new deaths,03/10/2020 total deaths,03/11/2020 new confirmed,03/11/2020 total confirmed,03/11/2020 new deaths,03/11/2020 total deaths,03/12/2020 new confirmed,03/12/2020 total confirmed,03/12/2020 new deaths,03/12/2020 total deaths,03/13/2020 new confirmed,03/13/2020 total confirmed,03/13/2020 new deaths,03/13/2020 total deaths,03/14/2020 new confirmed,03/14/2020 total confirmed,03/14/2020 new deaths,03/14/2020 total deaths,03/15/2020 new confirmed,03/15/2020 total confirmed,03/15/2020 new deaths,03/15/2020 total deaths,03/16/2020 new confirmed,03/16/2020 total confirmed,03/16/2020 new deaths,03/16/2020 total deaths,03/17/2020 new confirmed,03/17/2020 total confirmed,03/17/2020 new deaths,03/17/2020 total deaths,03/18/2020 new confirmed,03/18/2020 total confirmed,03/18/2020 new deaths,03/18/2020 total deaths,03/19/2020 new confirmed,03/19/2020 total confirmed,03/19/2020 new deaths,03/19/2020 total deaths,03/20/2020 new confirmed,03/20/2020 total confirmed,03/20/2020 new deaths,03/20/2020 total deaths,03/21/2020 new confirmed,03/21/2020 total confirmed,03/21/2020 new deaths,03/21/2020 total deaths,03/22/2020 new confirmed,03/22/2020 total confirmed,03/22/2020 new deaths,03/22/2020 total deaths,03/23/2020 new confirmed,03/23/2020 total confirmed,03/23/2020 new deaths,03/23/2020 total deaths,03/24/2020 new confirmed,03/24/2020 total confirmed,03/24/2020 new deaths,03/24/2020 total deaths,03/25/2020 new confirmed,03/25/2020 total confirmed,03/25/2020 new deaths,03/25/2020 total deaths,03/26/2020 new confirmed,03/26/2020 total confirmed,03/26/2020 new deaths,03/26/2020 total deaths,03/27/2020 new confirmed,03/27/2020 total confirmed,03/27/2020 new deaths,03/27/2020 total deaths,03/28/2020 new confirmed,03/28/2020 total confirmed,03/28/2020 new deaths,03/28/2020 total deaths,03/29/2020 new confirmed,03/29/2020 total confirmed,03/29/2020 new deaths,03/29/2020 total deaths,03/30/2020 new confirmed,03/30/2020 total confirmed,03/30/2020 new deaths,03/30/2020 total deaths,03/31/2020 new confirmed,03/31/2020 total confirmed,03/31/2020 new deaths,03/31/2020 total deaths,04/01/2020 new confirmed,04/01/2020 total confirmed,04/01/2020 new deaths,04/01/2020 total deaths,04/02/2020 new confirmed,04/02/2020 total confirmed,04/02/2020 new deaths,04/02/2020 total deaths,04/03/2020 new confirmed,04/03/2020 total confirmed,04/03/2020 new deaths,04/03/2020 total deaths,04/04/2020 new confirmed,04/04/2020 total confirmed,04/04/2020 new deaths,04/04/2020 total deaths,04/05/2020 new confirmed,04/05/2020 total confirmed,04/05/2020 new deaths,04/05/2020 total deaths,04/06/2020 new confirmed,04/06/2020 total confirmed,04/06/2020 new deaths,04/06/2020 total deaths,04/07/2020 new confirmed,04/07/2020 total confirmed,04/07/2020 new deaths,04/07/2020 total deaths,04/08/2020 new confirmed,04/08/2020 total confirmed,04/08/2020 new deaths,04/08/2020 total deaths,04/09/2020 new confirmed,04/09/2020 total confirmed,04/09/2020 new deaths,04/09/2020 total deaths,04/10/2020 new confirmed,04/10/2020 total confirmed,04/10/2020 new deaths,04/10/2020 total deaths,04/11/2020 new confirmed,04/11/2020 total confirmed,04/11/2020 new deaths,04/11/2020 total deaths,04/12/2020 new confirmed,04/12/2020 total confirmed,04/12/2020 new deaths,04/12/2020 total deaths,04/13/2020 new confirmed,04/13/2020 total confirmed,04/13/2020 new deaths,04/13/2020 total deaths,04/14/2020 new confirmed,04/14/2020 total confirmed,04/14/2020 new deaths,04/14/2020 total deaths,04/15/2020 new confirmed,04/15/2020 total confirmed,04/15/2020 new deaths,04/15/2020 total deaths,04/16/2020 new confirmed,04/16/2020 total confirmed,04/16/2020 new deaths,04/16/2020 total deaths,04/17/2020 new confirmed,04/17/2020 total confirmed,04/17/2020 new deaths,04/17/2020 total deaths,04/18/2020 new confirmed,04/18/2020 total confirmed,04/18/2020 new deaths,04/18/2020 total deaths,04/19/2020 new confirmed,04/19/2020 total confirmed,04/19/2020 new deaths,04/19/2020 total deaths,04/20/2020 new confirmed,04/20/2020 total confirmed,04/20/2020 new deaths,04/20/2020 total deaths,04/21/2020 new confirmed,04/21/2020 total confirmed,04/21/2020 new deaths,04/21/2020 total deaths,04/22/2020 new confirmed,04/22/2020 total confirmed,04/22/2020 new deaths,04/22/2020 total deaths,04/23/2020 new confirmed,04/23/2020 total confirmed,04/23/2020 new deaths,04/23/2020 total deaths,04/24/2020 new confirmed,04/24/2020 total confirmed,04/24/2020 new deaths,04/24/2020 total deaths,04/25/2020 new confirmed,04/25/2020 total confirmed,04/25/2020 new deaths,04/25/2020 total deaths
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,6,0,0,6,12,0,0,17,29,0,0,10,39,0,0,7,46,0,0,32,78,0,0,5,83,0,0,48,131,0,0,26,157,0,0,39,196,0,0,46,242,0,0,139,381,1,1,136,517,0,1,70,587,3,4,107,694,0,4,131,825,6,10,74,899,0,10,88,987,13,23,73,1060,4,27,173,1233,5,32,262,1495,6,38,119,1614,6,44,151,1765,1,45,187,1952,4,49,217,2169,15,64,159,2328,2,66,375,2703,4,70,244,2947,10,80,270,3217,12,92,346,3563,1,93,171,3734,6,99,219,3953,15,114,122,4075,4,118,270,4345,15,133,226,4571,15,148,141,4712,5,153,176,4888,4,157,191,5079,6,163,238,5317,20,183,276,5593,13,196,239,5832,6,202,194,6026,7,209,0,6026,0,209
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,3,0,0,3,6,0,0,3,9,0,0,3,12,0,0,3,15,0,0,5,20,0,0,10,30,0,0,4,34,0,0,7,41,1,1,15,56,0,1,2,58,0,1,27,85,1,2,17,102,0,2,12,114,1,3,5,119,0,3,13,132,0,3,11,143,0,3,14,157,0,3,14,171,2,5,14,185,1,6,5,190,0,6,23,213,0,6,13,226,1,7,9,235,0,7,11,246,0,7,11,257,1,8,15,272,0,8,5,277,0,8,8,285,1,9,8,293,0,9,7,300,0,9,9,309,0,9,5,314,0,9,5,319,0,9,2,321,0,9,8,329,0,9,6,335,0,9,2,337,0,9,2,339,0,9,0,339,0,9
Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,7,0,0,12,19,0,0,0,19,0,0,10,29,0,0,0,29,0,0,10,39,0,0,17,56,0,0,18,74,0,0,23,97,0,0,22,119,0,0,27,146,1,1,49,195,0,1,64,259,0,1,42,301,0,1,58,359,0,1,-1,358,1,2,128,486,0,2,56,542,0,2,0,542,0,2,79,621,0,2,40,661,1,3,29,690,5,8,64,754,1,9,215,969,4,13,0,969,0,13,106,1075,5,18,106,1181,2,20,69,1250,3,23,123,1373,1,24,0,1373,2,26,50,1423,3,29,28,1451,3,32,116,1567,8,40,0,1567,0,40,165,1732,6,46,138,1870,2,48,0,1870,0,48,126,1996,0,48,401,2397,2,50,165,2562,1,51,241,2803,0,51,105,2908,8,59,187,3095,2,61,306,3401,5,66,319,3720,2,68,297,4017,4,72,216,4233,1,73
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,3,9,0,0,0,9,0,0,0,9,0,0,3,12,0,0,1,13,0,0,5,18,0,0,2,20,0,0,7,27,0,0,18,45,0,0,33,78,0,0,40,118,1,1,34,152,1,2,83,235,0,2,91,326,3,5,75,401,1,6,107,508,2,8,157,665,5,13,108,773,2,15,146,919,2,17,238,1157,3,20,132,1289,4,24,241,1530,5,29,185,1715,3,32,222,1937,9,41,250,2187,11,52,299,2486,12,64,246,2732,1,65,138,2870,8,73,166,3036,7,80,-18,3018,9,89,94,3112,8,97,281,3393,11,108,149,3542,7,115,163,3705,7,122,104,3809,9,131,155,3964,11,142,273,4237,8,150,274,4511,19,169,213,4724,11,180,209,4933,4,184,135,5068,7,191,188,5256,17,208,217,5473,23,231,299,5772,18,249,273,6045,17,266,241,6286,7,273
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,6,0,0,0,6,0,0,6,12,0,0,4,16,0,0,6,22,0,0,0,22,0,0,11,33,0,0,29,62,0,0,34,96,0,0,26,122,0,0,43,165,0,0,27,192,0,0,27,219,2,2,61,280,0,2,55,335,0,2,46,381,1,3,28,409,2,5,17,426,1,6,47,473,1,7,50,523,1,8,61,584,2,10,59,643,2,12,61,704,0,12,39,743,2,14,94,837,2,16,38,875,0,16,71,946,2,18,54,1000,0,18,119,1119,3,21,52,1171,0,21,57,1228,4,25,52,1280,2,27,130,1410,2,29,88,1498,3,32,71,1569,1,33,51,1620,4,37,75,1695,0,37,49,1744,1,38,37,1781,1,39,192,1973,2,41,17,1990,1,42,286,2276,0,42,323,2599,3,45,211,2810,2,47,101,2911,1,48
British Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,2,0,0,2,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,1,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,1,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,1,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,1,8,0,0,0,8,0,0,0,8,0,0,1,9,0,0,3,12,0,0,1,13,0,0,8,21,0,0,0,21,0,0,6,27,0,0,5,32,1,1,0,32,0,1,7,39,0,1,7,46,0,1,18,64,0,1,0,64,0,1,9,73,0,1,30,103,3,4,0,103,0,4,83,186,3,7,45,231,0,7,40,271,1,8,153,424,2,10,0,424,0,10,48,472,3,13,145,617,0,13,0,617,0,13,108,725,1,14,0,725,0,14,159,884,3,17,0,884,0,17,86,970,2,19,43,1013,5,24,0,1013,0,24,108,1121,7,31,53,1174,0,31,29,1203,7,38,0,1203,0,38,63,1266,0,38,0,1266,1,39,25,1291,4,43,45,1336,5,48,34,1370,2,50,75,1445,8,58,0,1445,0,58,45,1490,11,69,0,1490,0,69,27,1517,3,72,44,1561,3,75,14,1575,2,77,43,1618,1,78,29,1647,3,81,0,1647,1,82,77,1724,5,87,71,1795,3,90,29,1824,4,94,29,1853,4,98,95,1948,2,100
California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,2,2,33,177,1,3,44,221,1,4,61,282,0,4,58,340,1,5,86,426,1,6,131,557,1,7,141,698,5,12,53,751,1,13,201,952,5,18,225,1177,5,23,187,1364,1,24,282,1646,6,30,462,2108,9,39,430,2538,11,50,460,2998,15,65,901,3899,16,81,758,4657,13,94,438,5095,16,110,757,5852,14,124,1286,7138,22,146,1072,8210,27,173,1189,9399,26,199,1374,10773,39,238,1231,12004,27,265,833,12837,24,289,2197,15034,59,348,985,16019,32,380,1332,17351,52,432,1546,18897,63,495,813,19710,49,544,1371,21081,39,583,625,21706,21,604,1089,22795,36,640,1136,23931,74,714,1425,25356,53,767,1330,26686,93,860,991,27677,96,956,1480,29157,81,1037,1334,30491,103,1140,940,31431,37,1177,2255,33686,48,1225,1779,35465,57,1282,1879,37344,139,1421,2217,39561,112,1533,1794,41355,88,1621,1013,42368,68,1689
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,19,34,0,0,11,45,0,0,4,49,0,0,52,101,1,1,30,131,0,1,29,160,0,1,0,160,1,2,24,184,0,2,93,277,2,4,86,363,0,4,27,390,0,4,201,591,2,6,113,704,1,7,19,723,1,8,298,1021,8,16,409,1430,3,19,3,1433,8,27,307,1740,4,31,567,2307,16,47,4,2311,0,47,655,2966,22,69,16,2982,0,69,360,3342,11,80,400,3742,17,97,446,4188,14,111,762,4950,29,140,233,5183,10,150,246,5429,29,179,226,5655,14,193,0,5655,0,193,547,6202,33,226,311,6513,24,250,794,7307,39,289,384,7691,17,306,259,7950,21,327,6,7956,1,328,330,8286,27,355,405,8691,17,372,356,9047,17,389,683,9730,31,420,0,9730,0,420,743,10473,63,483,418,10891,23,506,387,11278,46,552,978,12256,122,674,712,12968,10,684
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,3,0,0,2,5,0,0,6,11,0,0,11,22,0,0,2,24,0,0,6,30,0,0,38,68,0,0,0,68,0,0,91,159,2,2,35,194,1,3,0,194,1,4,133,327,4,8,88,415,2,10,203,618,2,12,257,875,7,19,137,1012,2,21,279,1291,6,27,233,1524,6,33,469,1993,1,34,578,2571,2,36,557,3128,33,69,429,3557,16,85,267,3824,27,112,1090,4914,19,131,362,5276,34,165,399,5675,24,189,1231,6906,17,206,875,7781,71,277,0,7781,49,326,2003,9784,54,380,754,10538,68,448,972,11510,46,494,525,12035,60,554,1346,13381,48,602,608,13989,69,671,766,14755,197,868,1129,15884,103,971,925,16809,65,1036,741,17550,50,1086,412,17962,41,1127,1853,19815,204,1331,545,20360,92,1423,2109,22469,121,1544,631,23100,95,1639,836,23936,128,1767,647,24583,98,1865
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,4,0,0,2,6,0,0,1,7,0,0,1,8,0,0,8,16,0,0,3,19,0,0,11,30,0,0,8,38,0,0,7,45,0,0,11,56,0,0,12,68,0,0,36,104,0,0,15,119,0,0,11,130,1,1,33,163,1,2,51,214,3,5,18,232,1,6,32,264,0,6,55,319,4,10,49,368,1,11,25,393,1,12,57,450,2,14,143,593,0,14,80,673,0,14,110,783,1,15,145,928,1,16,188,1116,3,19,93,1209,4,23,117,1326,9,32,153,1479,1,33,146,1625,2,35,133,1758,6,41,168,1926,2,43,88,2014,3,46,56,2070,9,55,247,2317,6,61,221,2538,6,67,0,2538,0,67,207,2745,5,72,186,2931,10,82,269,3200,7,89,108,3308,3,92,134,3442,8,100,134,3576,12,112
